ZIP_Code,Total_Votes_2020_Pres,Total_Votes_2022_Gov,Trump_2020_Votes,Biden_2020_Votes,Abbott_2022_Votes,O_Rourke_2022_Votes,VAP_2022,Area,Trump_2020_Pct,Biden_2020_Pct,Abbott_2022_Pct,O_Rourke_2022_Pct,Dem_Margin_2020_Pres_Pct,Dem_Margin_2022_Gov_Pct,Dem_Margin_Gain_Pct,Dem_Raw_Vote_Gain,GOP_Raw_Vote_Gain,Dem_Raw_Vote_Margin_Gain,Change_in_Turnout,Pop_Density,Community_Type,Median_Household_Income_2020,Bachelor_Degree_or_Higher_25_&_Older_Pct
75001.0,7018,4801,2601,4297,1883,2857,14513,3.6233169840832593,37.06184098033628,61.22827016243944,39.22099562591127,59.50843574255364,24.166429182103165,20.287440116642365,-3.8789890654608,-1440,-718,-722,-31.590196637218583,4005.445856311673,Big City Suburb,72050.0,55.52709847984138
75002.0,37041,26855,19661,16560,15013,11409,52561,42.848726552832254,53.0790205448017,44.70721632785292,55.90392850493391,42.483708806553715,-8.371804216948782,-13.420219698380194,-5.048415481431412,-5151,-4648,-503,-27.499257579438996,1226.6642261863387,Big City Suburb,104501.0,50.872488934286686
75006.0,18328,12556,7304,10703,5200,7161,40534,19.747698894979518,39.8515931907464,58.396988214753385,41.414463204842306,57.03249442497611,18.545395024006986,15.618031220133801,-2.9273638038731846,-3542,-2104,-1438,-31.492797904845048,2052.5935814377344,Big City Suburb,69501.0,31.933127282944646
75007.0,25992,18652,11998,13603,8894,9470,41491,11.87906070184441,46.160357032933206,52.33533394890736,47.683894488526704,50.7720351704911,6.174976915974156,3.088140681964397,-3.086836234009759,-4133,-3104,-1029,-28.239458294859954,3492.7845762719166,Big City Suburb,93770.0,41.7840941994016
75009.0,11277,8673,7861,3205,6380,2188,13651,107.6130853748084,69.70825574177529,28.420679258668084,73.56162804104692,25.227718205926436,-41.2875764831072,-48.33390983512048,-7.046333352013278,-1017,-1481,464,-23.091247672253257,126.8526030310773,Rural or Small City Suburb,108000.0,39.78307185744722
75010.0,13054,8587,5327,7529,3692,4768,22874,6.941994877951498,40.80741535161636,57.675808181400335,42.99522534063119,55.52579480610225,16.86839282978397,12.53056946547106,-4.337823364312911,-2761,-1635,-1126,-34.21939635360809,3295.018276756472,Big City Suburb,85777.0,52.637781000725155
75013.0,23903,17817,11417,12097,9039,8561,35432,15.84741932812482,47.7638790110028,50.60871020374012,50.73244653982152,48.049615535724314,2.844831192737317,-2.6828310040972028,-5.52766219683452,-3536,-2378,-1158,-25.46123917499895,2235.8214461529346,Big City Suburb,140098.0,63.32730047198268
75019.0,22941,17005,10994,11588,8470,8302,33107,17.942317948450768,47.92293274050826,50.512183427052,49.80887974125257,48.82093501911203,2.5892506865437426,-0.98794472214054,-3.5771954086842825,-3286,-2524,-762,-25.875070833878212,1845.190799489685,Big City Suburb,122033.0,69.60279323815121
75020.0,12261,9106,8537,3521,6630,2358,22285,80.10677114758359,69.62727346872197,28.71707038577604,72.80913683285746,25.895014276301342,-40.91020308294593,-46.91412255655612,-6.003919473610196,-1163,-1907,744,-25.731995758910365,278.19121505900597,Rural or Small City Suburb,53190.0,18.98320015100988
75021.0,3523,2671,2683,788,2111,524,6078,73.26441370081739,76.15668464376951,22.367300596082885,79.03406963684013,19.618120554099587,-53.789384047686625,-59.41594908274054,-5.626565035053915,-264,-572,308,-24.18393414703378,82.95978488028479,Rural or Small City Suburb,53967.0,14.97849621830046
